X,Y
1000.000000,0.000000
996.510000,1.640000
986.910000,6.720000
972.770000,14.810000
954.890000,24.570000
932.970000,34.820000
906.430000,45.370000
875.390000,56.560000
840.380000,68.400000
801.940000,80.780000
760.660000,93.490000
717.120000,106.300000
671.930000,118.940000
625.690000,131.080000
578.960000,142.380000
532.290000,152.510000
486.190000,161.100000
441.130000,167.790000
397.540000,172.130000
355.490000,173.600000
314.790000,172.120000
275.490000,167.920000
237.720000,161.270000
201.710000,152.530000
167.840000,142.010000
136.420000,129.980000
107.760000,116.690000
82.120000,102.400000
59.710000,87.390000
40.710000,71.960000
25.270000,56.430000
13.450000,41.160000
5.310000,26.540000
0.860000,13.050000
0.030000,1.280000
0.330000,-1.070000
1.020000,-3.960000
1.650000,-5.710000
2.420000,-7.310000
2.870000,-8.030000
3.350000,-8.710000
3.890000,-9.310000
4.520000,-9.840000
5.240000,-10.340000
6.040000,-10.820000
7.860000,-11.690000
9.940000,-12.490000
13.540000,-13.540000
25.160000,-15.450000
44.990000,-15.960000
70.240000,-14.110000
100.950000,-9.820000
137.250000,-3.170000
179.380000,5.650000
227.690000,15.930000
281.990000,26.370000
341.480000,35.690000
404.680000,42.710000
469.580000,47.020000
534.660000,49.010000
598.910000,48.910000
661.180000,46.730000
720.220000,42.820000
775.110000,37.720000
825.170000,31.900000
869.820000,25.700000
908.500000,19.500000
940.820000,13.640000
966.420000,8.420000
984.990000,4.110000
996.240000,1.120000
1000.000000,0.000000
